"user","longitude","latitude","hour_taken","day_taken","month_taken","year_taken","First*(id)","Unique concatenate(hashtags)","Unique concatenate(legend)","First*(minutes_taken)","First*(hour_uploaded)","First*(day_uploaded)","First*(month_uploaded)","First*(year_uploaded)","First*(url)","longitude_normalized"
"10712852@N02",4.8316,45.764,19,8,12,2007,2.107782399E9,"longexposure,blue,red,people,orange,france,colour,night,rouge,waiting,lyon,pentax,outdoor,sigma,bleu,cube,nuit,personne,couleur,2007,fêtedeslumières,attente,8décembre,longueexposition,exterieur,pentaxk10d,1850mmf28exdcmacro,colourartaward,cyrilbreton|photographie,terrassesdelaguillotière, longexposure,blue,people,france,colour,night,waiting,dof,lyon,pentax,bokeh,outdoor,sigma,bleu,explore,cube,frontpage,nuit,personne,couleur,2007,fêtedeslumières,attente,8décembre,longueexposition,exterieur,pentaxk10d,1850mmf28exdcmacro,cyrilbreton|photographie,terrassesdelaguillotière","Fête des Lumières Lyon 2007
Lyon (69), France",36,9,13,12,2007,"http://farm3.staticflickr.com/2125/2107782399_7b90cb8878_t.jpg",6.9044
"10712852@N02",4.8366,45.768,0,9,12,2007,2.111103692E9,"longexposure,red,sky,cloud,france,colour,night,rouge,lyon,pentax,outdoor,sigma,ciel,nuage,nuit,couleur,2007,fêtedeslumières,aficionados,8décembre,longueexposition,exterieur,k10d,pentaxk10d,placelouispradel,1850mmf28exdcmacro,cyrilbreton|photographie","Fête des Lumières Lyon 2007.
Lyon (69), France.",1,16,14,12,2007,"http://farm3.staticflickr.com/2034/2111103692_374f3e5249_t.jpg",6.9115
"10781091@N03",4.8316,45.767,6,3,8,2007,9.89768996E8,"?","?",54,20,2,8,2007,"http://farm2.staticflickr.com/1174/989768996_463ab24925_t.jpg",6.9044
"10785432@N03",4.8262,45.762,18,2,6,2009,3.592877925E9,"stairs,lyon,escaliers,montéedeschazeaux","Encore des escaliers. Toujours des escaliers.",42,21,3,6,2009,"http://farm3.staticflickr.com/2377/3592877925_a342d5ff9d_t.jpg",6.8966
"10785432@N03",4.8348,45.772,17,2,6,2009,3.593676326E9,"lyon,courdesvoraces","La cour des Voraces, vue du bas.",55,21,3,6,2009,"http://farm3.staticflickr.com/2483/3593676326_f1544e3df3_t.jpg",6.9089
"10785432@N03",4.8376,45.777,17,2,6,2009,3.593673472E9,"stairs,lyon,escaliers,ruejoséphinsoulary","Tout en haut de la rue Soulary, une rue piétonne de Lyon quil est intéressant de se taper en entier, depuis le Rhône en bas jusquen sommet, 400 m plus loin et 60 m plus haut.",41,21,3,6,2009,"http://farm4.staticflickr.com/3588/3593673472_cb846406c8_t.jpg",6.9129
"10857883@N05",4.8484,45.783,10,25,3,2008,3.895229813E9,"lyon,muséedartcontemporain,citéinternationale","?",33,8,7,9,2009,"http://farm3.staticflickr.com/2564/3895229813_d02c160f27_t.jpg",6.9284
"10879384@N00",4.8313,45.773,20,19,8,2005,3.51478502E8,"travel,france,beer,europe,lyon,bavaria86","?",19,9,9,1,2007,"http://farm1.staticflickr.com/149/351478502_2c608736f5_t.jpg",6.9039
"10879384@N00",4.8313,45.773,21,20,8,2005,3.51478265E8,"travel,france,beer,europe,lyon,33export,lagoudale,bavaria86","?",20,9,9,1,2007,"http://farm1.staticflickr.com/131/351478265_6bb27ed538_t.jpg",6.9039
"10879384@N00",4.8313,45.773,22,8,8,2005,3.51479307E8,"travel,france,beer,heineken,europe,lyon","?",36,9,9,1,2007,"http://farm1.staticflickr.com/154/351479307_7507c5e735_t.jpg",6.9039
"10986181@N05",4.8321,45.758,11,4,5,2008,2.495725486E9,"lyon,lion,ours","?",18,20,15,5,2008,"http://farm4.staticflickr.com/3132/2495725486_c2cbca243f_t.jpg",6.9051
"11133169@N03",4.8545,45.761,9,15,4,2011,5.62138397E9,"square,squareformat,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=10082651","?",9,7,15,4,2011,"http://farm6.staticflickr.com/5022/5621383970_1476c26cdd_t.jpg",6.9371
"11207214@N08",4.8237,45.765,0,6,12,2009,4.166909037E9,"street,light,streets,color,green,yellow,night,jaune,lights,december,lyon,lumière,illuminations,illumination,8,vert,ombre,fête,rue,nuit,2009,festivaloflights,couleur,décoration,lumières,immeuble,décembre,décor,spectacle,fêtedeslumières,8décembre,lugdunum,errance,rho?nealpes","?",41,22,7,12,2009,"http://farm3.staticflickr.com/2591/4166909037_738bea878f_t.jpg",6.8931
"11207214@N08",4.8267,45.761,0,7,12,2008,3.089161772E9,"color,night,december,place,lyon,8,fête,2008,nuit,couleur,décoration,lumières,décembre,décor,spectacle,fêtedeslumières,lugdunum,placestjean,rho?nealpes","?",0,9,7,12,2008,"http://farm4.staticflickr.com/3205/3089161772_f47a060776_t.jpg",6.8974
"11207214@N08",4.8278,45.751,22,30,11,2008,3.082076396E9,"christmas,cats,color,cup,tasse,chats,lyon,market,noël,marché,couleur,mélange,décoration,lugdunum,rho?nealpes","?",20,7,4,12,2008,"http://farm4.staticflickr.com/3146/3082076396_e445fddb6d_t.jpg",6.8989
"11207214@N08",4.8351,45.768,23,6,12,2009,4.178767114E9,"color,night,lights,december,place,lyon,hoteldeville,8,fête,temps,nuit,2009,festivaloflights,couleur,metronome,décoration,centreville,mairie,lumières,décembre,hôteldeville,décor,spectacle,fêtedeslumières,placedesterreaux,terreaux,lugdunum,métronome,rho?nealpes,jouonsavecletemps, color,fleur,night,fleurs,lights,december,place,lyon,hoteldeville,8,fête,temps,nuit,2009,festivaloflights,couleur,metronome,décoration,centreville,mairie,lumières,décembre,hôteldeville,décor,spectacle,fêtedeslumières,placedesterreaux,terreaux,lugdunum,métronome,rho?nealpes,jouonsavecletemps, color,night,lights,december,place,lyon,hoteldeville,pluie,8,fête,temps,nuit,2009,festivaloflights,couleur,metronome,décoration,centreville,mairie,lumières,décembre,hôteldeville,décor,spectacle,fêtedeslumières,placedesterreaux,terreaux,lugdunum,métronome,rho?nealpes,jouonsavecletemps, color,night,lights,december,lyon,lumière,illuminations,illumination,8,vert,bleu,laser,fête,nuit,2009,festivaloflights,couleur,décoration,cours,lumières,immeuble,décembre,décor,spectacle,fêtedeslumières,8décembre,lugdunum,rho?nealpes","?",14,11,12,12,2009,"http://farm5.staticflickr.com/4008/4178767114_f96245338a_t.jpg",6.9094
"11207214@N08",4.8355,45.761,3,7,12,2008,3.090900654E9,"color,december,lyon,8,fête,2008,bougies,couleur,lumières,bougie,décembre,fêtedeslumières,lugdunum,rhônealpes,lumignons,luminon,luminons,lumignonsducoeur, color,eau,december,lyon,jet,8,bleu,fête,2008,couleur,lumières,décembre,fêtedeslumières,lugdunum,rhônealpes, color,water,fun,eau,december,place,lyon,jet,8,bleu,fête,2008,république,fontaine,couleur,lumières,décembre,fêtedeslumières,placedelarépublique,lugdunum,rhônealpes","?",27,22,7,12,2008,"http://farm4.staticflickr.com/3003/3090900654_76d740fb18_t.jpg",6.9099
"11210631@N08",4.827,45.772,15,8,8,2007,1.071160418E9,"lyon","?",42,11,10,8,2007,"http://farm2.staticflickr.com/1394/1071160418_c5bd9275eb_t.jpg",6.8978
"11210631@N08",4.8276,45.764,15,9,8,2007,1.07117388E9,"lyon","?",12,11,10,8,2007,"http://farm2.staticflickr.com/1253/1071173880_788316600e_t.jpg",6.8986
"11210631@N08",4.8356,45.761,16,8,8,2007,1.071162224E9,"lyon","?",14,11,10,8,2007,"http://farm2.staticflickr.com/1118/1071162224_4cbaf443fd_t.jpg",6.9101
"11210631@N08",4.8356,45.761,19,9,8,2007,1.0711701E9,"lyon","?",39,11,10,8,2007,"http://farm2.staticflickr.com/1199/1071170100_eda3918f01_t.jpg",6.9101
"11210631@N08",5.0746,45.721,17,25,8,2007,1.297371699E9,"france,architecture,lyon,calatrava,tgv,saintexupery","?",47,23,1,9,2007,"http://farm2.staticflickr.com/1205/1297371699_c4f76e7772_t.jpg",7.2516
"11221128@N05",4.8182,45.744,22,8,12,2007,2.103604376E9,"lyon,fetedeslumières2007","?",51,21,8,12,2007,"http://farm3.staticflickr.com/2073/2103604376_7abdd7576b_t.jpg",6.8852
"11301832@N07",4.827,45.762,15,13,8,2011,6.298342828E9,"france,saint,alpes,frankreich,europa,europe,place,jean,lyon,thomas,rhône,vieux,quartier,pollin,quartiersaintjean,vieuxlyon,rhônealpes,loggias,basoche,thomaspollin,placedelabasoche","Ancien repère de la confrérie de juristes Basoche (Lyon, Rhône-Alpes, France).

Farbige Häuser in der Altstadt Lyon (Lyon, Rhône-Alpes, Frankreich).

Coloured houses in the old town Lyon (Lyon, Rhône-Alpes, France).",7,10,31,10,2011,"http://farm7.staticflickr.com/6231/6298342828_a225d15275_t.jpg",6.8978
"11340494@N08",4.8616,45.759,17,3,5,2007,2.052995075E9,"lyon,tram","embouteillage",56,22,21,11,2007,"http://farm3.staticflickr.com/2290/2052995075_f5292bdeae_t.jpg",6.9472
"11365706@N02",4.8206,45.762,16,4,1,2004,2.040030179E9,"france,view,lyon, france,building,church,lyon,vieuxlyon,fourvieres","?",14,16,17,11,2007,"http://farm3.staticflickr.com/2128/2040030179_cc4aded097_t.jpg",6.8886
"11378121@N03",4.833,45.757,18,8,12,2007,2.10168429E9,"lyon,lumières,2007","?",48,19,10,12,2007,"http://farm3.staticflickr.com/2397/2101684290_f898693dc5_t.jpg",6.9064
"11495184@N03",4.8269,45.761,0,16,9,2007,2.237291134E9,"church,monument,lyon","?, To the left of the front door, On the right of the front door. Note how the fleurs-de-lys, symbols of the royalty, were striken down at the Revolution.",0,18,2,2,2008,"http://farm3.staticflickr.com/2115/2237291134_e077442eff_t.jpg",6.8976
"11545749@N06",4.8741,45.784,20,28,1,2010,4.394803554E9,"lyon,nin,nineinchnails,gift,screening,toiou,avott, nin,nineinchnails,gift,screening,toiou,avott","2010-01-28 Toiou Avott Lyon, 2010-01-29 Toiou Avott Lyon",10,11,28,2,2010,"http://farm3.staticflickr.com/2686/4394803554_63f632553d_t.jpg",6.9651
"11600557@N07",4.9601,45.803,17,25,3,2012,6.87500963E9,"life,portrait,blackandwhite,woman,nature,noiretblanc,océanne,canonef135mmf2lusm,canon5dmarkii","Tribute to Jean.

<a href=http://www.flickr.com/photos/coolazerty/>www.flickr.com/photos/coolazerty/</a>",28,15,27,3,2012,"http://farm8.staticflickr.com/7067/6875009630_62aa1b9903_t.jpg",7.088
"11600557@N07",4.968,45.819,16,8,12,2011,6.483371701E9,"autumn,portrait,blackandwhite,leaves,leaf,model,noiretblanc,bokeh,guyfawkes,v,miribel,vendetta,modèle,canonef135mmf2lusm,canon5dmarkii","<a href=http://thanh.500px.com rel=
ofollow><b>portfolio</b></a> | <a href=http://modeles.tranches-de-vie.com rel=
ofollow>site</a> | <a href=http://www.facebook.com/tranchesdevie.modeles rel=
ofollow>facebook</a> | <a href=http://twitter.com/tranchesdevie rel=
ofollow>twitter</a>",24,20,9,12,2011,"http://farm8.staticflickr.com/7161/6483371701_95c6796ff8_t.jpg",7.0993
"11817998@N05",4.8355,45.766,23,30,9,2010,5.17977805E9,"?","?",44,20,15,11,2010,"http://farm5.staticflickr.com/4112/5179778050_be0b4ab1db_t.jpg",6.9099
"11817998@N05",4.8464,45.761,16,28,1,2010,4.311760492E9,"365,iphone","?",20,15,28,1,2010,"http://farm3.staticflickr.com/2799/4311760492_7a61a352c6_t.jpg",6.9255
"11817998@N05",4.8465,45.761,8,1,3,2010,4.400150995E9,"365,iphone","?",54,7,1,3,2010,"http://farm5.staticflickr.com/4009/4400150995_af782c16e2_t.jpg",6.9256
"11817998@N05",4.847,45.76,9,1,5,2010,4.587164879E9,"365,iphone","?",38,7,1,5,2010,"http://farm5.staticflickr.com/4052/4587164879_1266939f8d_t.jpg",6.9264
"11817998@N05",4.8473,45.76,15,26,5,2010,4.65536727E9,"365,iphone","?",35,15,26,5,2010,"http://farm5.staticflickr.com/4009/4655367270_0e89e1231c_t.jpg",6.9268
"11817998@N05",4.8473,45.76,18,10,5,2010,4.598270862E9,"365,iphone","?",45,16,10,5,2010,"http://farm4.staticflickr.com/3264/4598270862_571dec95d0_t.jpg",6.9268
"11817998@N05",4.8474,45.76,17,29,5,2010,4.654185992E9,"365,iphone","?",12,15,29,5,2010,"http://farm5.staticflickr.com/4020/4654185992_468a3376f8_t.jpg",6.9269
"11817998@N05",4.8477,45.76,2,8,6,2010,4.71037975E9,"365,iphone","?",22,0,8,6,2010,"http://farm5.staticflickr.com/4008/4710379750_a39797f888_t.jpg",6.9274
"11817998@N05",4.8477,45.76,16,14,6,2010,4.709801867E9,"365,iphone","?",43,14,14,6,2010,"http://farm5.staticflickr.com/4059/4709801867_e2c7f13233_t.jpg",6.9274
"11817998@N05",4.8477,45.76,17,13,6,2010,4.709785505E9,"365,iphone","?",36,15,13,6,2010,"http://farm5.staticflickr.com/4006/4709785505_b15a029589_t.jpg",6.9274
"11817998@N05",4.8477,45.76,18,12,6,2010,4.710409368E9,"365,iphone","?",28,16,12,6,2010,"http://farm5.staticflickr.com/4014/4710409368_8fce9b16d7_t.jpg",6.9274
"11817998@N05",4.8477,45.76,22,16,6,2010,4.710448092E9,"365,iphone","?",20,20,16,6,2010,"http://farm5.staticflickr.com/4047/4710448092_e016246b36_t.jpg",6.9274
"11817998@N05",4.8478,45.76,12,7,4,2010,4.503066013E9,"365,iphone","?",14,10,7,4,2010,"http://farm5.staticflickr.com/4050/4503066013_65cfe388a5_t.jpg",6.9275
"11817998@N05",4.8479,45.76,23,16,3,2010,4.438808677E9,"365,iphone","?",55,22,16,3,2010,"http://farm3.staticflickr.com/2769/4438808677_98890b0029_t.jpg",6.9276
"11817998@N05",4.848,45.76,14,26,3,2010,4.464884122E9,"365,iphone","?",50,13,26,3,2010,"http://farm5.staticflickr.com/4039/4464884122_0ee5fec355_t.jpg",6.9278
"11817998@N05",4.8598,45.78,22,20,3,2007,2.366892027E9,"rock,concert,lyon,nicolas,solo,mano,chanson,guitare,d300,dormont,transbordeur,artistemano,artisteapsamconcertsdormontdnicolasfrlyonphotographie","Mano Solo au transbordeur 19.03.08",9,23,27,3,2008,"http://farm3.staticflickr.com/2414/2366892027_a4933478ed_t.jpg",6.9447
"11817998@N05",4.8598,45.78,23,20,3,2007,2.366891713E9,"rock,concert,lyon,nicolas,solo,mano,chanson,guitare,d300,dormont,transbordeur,artistemano,artisteapsamconcertsdormontdnicolasfrlyonphotographie","Mano Solo au transbordeur 19.03.08",12,23,27,3,2008,"http://farm3.staticflickr.com/2302/2366891713_fe8eef0c32_t.jpg",6.9447
"11817998@N05",4.8712,45.771,22,18,8,2010,4.912734338E9,"?","?",4,9,21,8,2010,"http://farm5.staticflickr.com/4117/4912734338_d2ddf21542_t.jpg",6.9609
"11831074@N05",4.8356,45.761,11,27,8,2011,6.593485831E9,"lyon,carousel,andreaschiavonet","What do you want? I am beautiful!

<a href=http://www.andreaschiavo.net/archives/76 rel=
ofollow>www.andreaschiavo.net/archives/76</a>",53,11,29,12,2011,"http://farm8.staticflickr.com/7013/6593485831_d33a54693b_t.jpg",6.9101
"11831074@N05",4.8357,45.762,12,27,8,2011,6.593486985E9,"lyon,andreaschiavonet","Daddy &amp; son: passing down family hobbies.

<a href=http://www.andreaschiavo.net/archives/76 rel=
ofollow>www.andreaschiavo.net/archives/76</a>",2,11,29,12,2011,"http://farm8.staticflickr.com/7155/6593486985_fa8127ddbb_t.jpg",6.9102
"11935344@N00",4.8256,45.763,0,15,7,2007,9.36066562E8,"food,burgundy","?",24,5,29,7,2007,"http://farm2.staticflickr.com/1032/936066562_93fc0f3962_t.jpg",6.8958
"11935344@N00",4.8256,45.763,12,15,7,2007,9.35221887E8,"food,burgundy","?",31,5,29,7,2007,"http://farm2.staticflickr.com/1220/935221887_e7459ab3ba_t.jpg",6.8958
"11942440@N06",4.8291,45.767,15,11,12,2011,6.492559707E9,"square,squareformat,earlybird,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4e90593949013919daca2e99","?",26,14,11,12,2011,"http://farm8.staticflickr.com/7004/6492559707_f23b76bed2_t.jpg",6.9008
"11942440@N06",4.8315,45.762,15,10,12,2011,6.486891927E9,"uploaded:by=flicksquare,geo:lat=45762044,foursquare:venue=4e2b10dc18a80bb05854e738,geo:lon=483147001309122","@ Quai Saint Antoine <a href=http://4sq.com/tOLuPX rel=
ofollow>4sq.com/tOLuPX</a> (posted via FlickSquare)",52,14,10,12,2011,"http://farm8.staticflickr.com/7173/6486891927_ff4987da9d_t.jpg",6.9042
"11942440@N06",4.8366,45.768,1,10,12,2011,6.484194153E9,"uploaded:by=flicksquare,foursquare:venue=4b61bda1f964a520ca1f2ae3,geo:lat=457678111003622,geo:lon=483658611774445","@ Opéra de Lyon <a href=http://4sq.com/u1ijDv rel=
ofollow>4sq.com/u1ijDv</a> (posted via FlickSquare)",3,0,10,12,2011,"http://farm8.staticflickr.com/7002/6484194153_a0959f7063_t.jpg",6.9115
"12070636@N02",4.8517,45.762,10,8,11,2012,8.166317566E9,"?","?",3,9,8,11,2012,"http://farm8.staticflickr.com/7257/8166317566_da8fa11169_t.jpg",6.9331
"12072883@N08",4.8192,45.76,9,17,4,2012,6.941076302E9,"?","?",12,12,17,4,2012,"http://farm8.staticflickr.com/7124/6941076302_d67a81259b_t.jpg",6.8866
"12072883@N08",4.8195,45.76,9,17,4,2012,7.087150481E9,"?","?",15,12,17,4,2012,"http://farm6.staticflickr.com/5079/7087150481_6122103ec0_t.jpg",6.8871
"12072883@N08",4.8217,45.762,9,17,4,2012,6.941060864E9,"?","?",7,12,17,4,2012,"http://farm6.staticflickr.com/5462/6941060864_42f03b7baa_t.jpg",6.8902
"12072883@N08",4.8235,45.762,10,18,4,2012,7.093263199E9,"?","?",30,12,19,4,2012,"http://farm8.staticflickr.com/7086/7093263199_cd8ac748c2_t.jpg",6.8928
"12072883@N08",4.8257,45.761,10,17,4,2012,7.088043637E9,"?","?",9,18,17,4,2012,"http://farm8.staticflickr.com/7132/7088043637_9621a5d20f_t.jpg",6.8959
"12072883@N08",4.8272,45.762,11,18,4,2012,7.094685195E9,"?","?",22,22,19,4,2012,"http://farm8.staticflickr.com/7256/7094685195_1d42f283f0_t.jpg",6.8981
"12072883@N08",4.8292,45.764,10,18,4,2012,7.091746467E9,"?","????? ???????? ? ????., ?",9,22,18,4,2012,"http://farm8.staticflickr.com/7191/7091746467_3bbc5cae52_t.jpg",6.9009
"12072883@N08",4.8303,45.763,10,18,4,2012,7.091737335E9,"?","???????????? ?????? ??????, ??????? ?????????????? ? ??????. ????? ???????? ? ????.",2,22,18,4,2012,"http://farm6.staticflickr.com/5470/7091737335_4c41274e1d_t.jpg",6.9025
"12072883@N08",4.8323,45.769,10,19,4,2012,7.095542233E9,"?","?",9,7,20,4,2012,"http://farm6.staticflickr.com/5079/7095542233_d30c7e6b52_t.jpg",6.9054
"12072883@N08",4.8338,45.761,7,17,4,2012,6.941021112E9,"?","?",35,12,17,4,2012,"http://farm8.staticflickr.com/7249/6941021112_5e4d4180bc_t.jpg",6.9075
"12072883@N08",4.8365,45.768,20,18,4,2012,7.095527149E9,"?","?",24,6,20,4,2012,"http://farm6.staticflickr.com/5453/7095527149_4288af6078_t.jpg",6.9114
